block_id,vol_id,tile_idx,d,h,w,density,target,path
285,35,5,14,14,14,1.000000,GPU,blocks/blk_0000285.npy
286,35,6,14,14,14,0.995627,GPU,blocks/blk_0000286.npy
287,35,7,14,14,14,1.000000,GPU,blocks/blk_0000287.npy
288,36,0,14,14,14,0.756195,GPU,blocks/blk_0000288.npy
289,36,1,14,14,14,0.747449,GPU,blocks/blk_0000289.npy
290,36,2,14,14,14,0.003644,CPU,blocks/blk_0000290.npy
291,36,3,14,14,14,0.001093,CPU,blocks/blk_0000291.npy
292,36,4,14,14,14,1.000000,GPU,blocks/blk_0000292.npy
293,36,5,14,14,14,0.928571,GPU,blocks/blk_0000293.npy
294,36,6,14,14,14,0.235423,CPU,blocks/blk_0000294.npy
295,36,7,14,14,14,0.231778,CPU,blocks/blk_0000295.npy
296,37,0,14,14,14,0.999636,GPU,blocks/blk_0000296.npy
297,37,1,14,14,14,0.995262,GPU,blocks/blk_0000297.npy
298,37,2,14,14,14,0.928571,GPU,blocks/blk_0000298.npy
299,37,3,14,14,14,0.928207,GPU,blocks/blk_0000299.npy
300,37,4,14,14,14,0.996720,GPU,blocks/blk_0000300.npy
301,37,5,14,14,14,0.983236,GPU,blocks/blk_0000301.npy
302,37,6,14,14,14,0.928207,GPU,blocks/blk_0000302.npy
303,37,7,14,14,14,0.928571,GPU,blocks/blk_0000303.npy
304,38,0,14,14,14,0.977405,GPU,blocks/blk_0000304.npy
305,38,1,14,14,14,0.943149,GPU,blocks/blk_0000305.npy
306,38,2,14,14,14,0.998542,GPU,blocks/blk_0000306.npy
307,38,3,14,14,14,0.823615,GPU,blocks/blk_0000307.npy
308,38,4,14,14,14,0.991618,GPU,blocks/blk_0000308.npy
309,38,5,14,14,14,0.811953,GPU,blocks/blk_0000309.npy
310,38,6,14,14,14,0.983236,GPU,blocks/blk_0000310.npy
311,38,7,14,14,14,0.829810,GPU,blocks/blk_0000311.npy
312,39,0,14,14,14,0.998178,GPU,blocks/blk_0000312.npy
313,39,1,14,14,14,0.999271,GPU,blocks/blk_0000313.npy
314,39,2,14,14,14,1.000000,GPU,blocks/blk_0000314.npy
315,39,3,14,14,14,1.000000,GPU,blocks/blk_0000315.npy
316,39,4,14,14,14,0.998907,GPU,blocks/blk_0000316.npy
317,39,5,14,14,14,0.999636,GPU,blocks/blk_0000317.npy
318,39,6,14,14,14,0.999636,GPU,blocks/blk_0000318.npy
319,39,7,14,14,14,1.000000,GPU,blocks/blk_0000319.npy
320,40,0,14,14,14,0.999271,GPU,blocks/blk_0000320.npy
321,40,1,14,14,14,0.911443,GPU,blocks/blk_0000321.npy
322,40,2,14,14,14,0.996356,GPU,blocks/blk_0000322.npy
323,40,3,14,14,14,0.978499,GPU,blocks/blk_0000323.npy
324,40,4,14,14,14,0.926020,GPU,blocks/blk_0000324.npy
325,40,5,14,14,14,0.927114,GPU,blocks/blk_0000325.npy
326,40,6,14,14,14,0.927478,GPU,blocks/blk_0000326.npy
327,40,7,14,14,14,0.928207,GPU,blocks/blk_0000327.npy
328,41,0,14,14,14,0.962464,GPU,blocks/blk_0000328.npy
329,41,1,14,14,14,0.952259,GPU,blocks/blk_0000329.npy
330,41,2,14,14,14,0.998907,GPU,blocks/blk_0000330.npy
331,41,3,14,14,14,0.807580,GPU,blocks/blk_0000331.npy
332,41,4,14,14,14,0.950073,GPU,blocks/blk_0000332.npy
333,41,5,14,14,14,0.970117,GPU,blocks/blk_0000333.npy
334,41,6,14,14,14,1.000000,GPU,blocks/blk_0000334.npy
335,41,7,14,14,14,0.879009,GPU,blocks/blk_0000335.npy
336,42,0,14,14,14,0.999636,GPU,blocks/blk_0000336.npy
337,42,1,14,14,14,0.982872,GPU,blocks/blk_0000337.npy
338,42,2,14,14,14,0.989067,GPU,blocks/blk_0000338.npy
339,42,3,14,14,14,0.996720,GPU,blocks/blk_0000339.npy
340,42,4,14,14,14,1.000000,GPU,blocks/blk_0000340.npy
341,42,5,14,14,14,0.988338,GPU,blocks/blk_0000341.npy
342,42,6,14,14,14,0.986880,GPU,blocks/blk_0000342.npy
343,42,7,14,14,14,0.995262,GPU,blocks/blk_0000343.npy
344,43,0,14,14,14,0.999636,GPU,blocks/blk_0000344.npy
345,43,1,14,14,14,0.992347,GPU,blocks/blk_0000345.npy
346,43,2,14,14,14,0.999271,GPU,blocks/blk_0000346.npy
347,43,3,14,14,14,0.992347,GPU,blocks/blk_0000347.npy
348,43,4,14,14,14,1.000000,GPU,blocks/blk_0000348.npy
349,43,5,14,14,14,0.998178,GPU,blocks/blk_0000349.npy
350,43,6,14,14,14,1.000000,GPU,blocks/blk_0000350.npy
351,43,7,14,14,14,0.999271,GPU,blocks/blk_0000351.npy
352,44,0,14,14,14,1.000000,GPU,blocks/blk_0000352.npy
353,44,1,14,14,14,1.000000,GPU,blocks/blk_0000353.npy
354,44,2,14,14,14,0.693513,GPU,blocks/blk_0000354.npy
355,44,3,14,14,14,0.859329,GPU,blocks/blk_0000355.npy
356,44,4,14,14,14,1.000000,GPU,blocks/blk_0000356.npy
357,44,5,14,14,14,1.000000,GPU,blocks/blk_0000357.npy
358,44,6,14,14,14,0.314140,GPU,blocks/blk_0000358.npy
359,44,7,14,14,14,0.468659,GPU,blocks/blk_0000359.npy
360,45,0,14,14,14,1.000000,GPU,blocks/blk_0000360.npy
361,45,1,14,14,14,0.998907,GPU,blocks/blk_0000361.npy
362,45,2,14,14,14,0.897595,GPU,blocks/blk_0000362.npy
363,45,3,14,14,14,0.928571,GPU,blocks/blk_0000363.npy
364,45,4,14,14,14,1.000000,GPU,blocks/blk_0000364.npy
365,45,5,14,14,14,1.000000,GPU,blocks/blk_0000365.npy
366,45,6,14,14,14,0.912536,GPU,blocks/blk_0000366.npy
367,45,7,14,14,14,0.754373,GPU,blocks/blk_0000367.npy
368,46,0,14,14,14,0.997085,GPU,blocks/blk_0000368.npy
369,46,1,14,14,14,1.000000,GPU,blocks/blk_0000369.npy
370,46,2,14,14,14,1.000000,GPU,blocks/blk_0000370.npy
371,46,3,14,14,14,1.000000,GPU,blocks/blk_0000371.npy
372,46,4,14,14,14,1.000000,GPU,blocks/blk_0000372.npy
373,46,5,14,14,14,1.000000,GPU,blocks/blk_0000373.npy
374,46,6,14,14,14,1.000000,GPU,blocks/blk_0000374.npy
375,46,7,14,14,14,1.000000,GPU,blocks/blk_0000375.npy
376,47,0,14,14,14,1.000000,GPU,blocks/blk_0000376.npy
377,47,1,14,14,14,0.998907,GPU,blocks/blk_0000377.npy
378,47,2,14,14,14,1.000000,GPU,blocks/blk_0000378.npy
379,47,3,14,14,14,1.000000,GPU,blocks/blk_0000379.npy
380,47,4,14,14,14,1.000000,GPU,blocks/blk_0000380.npy
381,47,5,14,14,14,1.000000,GPU,blocks/blk_0000381.npy
382,47,6,14,14,14,1.000000,GPU,blocks/blk_0000382.npy
383,47,7,14,14,14,1.000000,GPU,blocks/blk_0000383.npy
384,48,0,14,14,14,1.000000,GPU,blocks/blk_0000384.npy
385,48,1,14,14,14,1.000000,GPU,blocks/blk_0000385.npy
386,48,2,14,14,14,0.787536,GPU,blocks/blk_0000386.npy
387,48,3,14,14,14,0.936589,GPU,blocks/blk_0000387.npy
388,48,4,14,14,14,0.938776,GPU,blocks/blk_0000388.npy
389,48,5,14,14,14,0.991618,GPU,blocks/blk_0000389.npy
390,48,6,14,14,14,0.127915,CPU,blocks/blk_0000390.npy
391,48,7,14,14,14,0.346574,GPU,blocks/blk_0000391.npy
392,49,0,14,14,14,0.998178,GPU,blocks/blk_0000392.npy
393,49,1,14,14,14,0.991254,GPU,blocks/blk_0000393.npy
394,49,2,14,14,14,1.000000,GPU,blocks/blk_0000394.npy
395,49,3,14,14,14,1.000000,GPU,blocks/blk_0000395.npy
